df,section_name,cb_col_name,col_name
v1,Mini Mental Status Exam Score,MMS_5A,mms_6a
v1,Mini Mental Status Exam Score,MMS_5B,mms_6b
v1,Mini Mental Status Exam Score,MMS_5C,mms_6c
v1,Mini Mental Status Exam Score,MMS_5D,mms_6d
v1,Mini Mental Status Exam Score,RECAL2,mms_recall_2
v1,Mini Mental Status Exam Score,MMS_6,mms_7
v1,Mini Mental Status Exam Score,MMS_6A,mms_7a
v1,Mini Mental Status Exam Score,MMS_6B,mms_7b
v1,Mini Mental Status Exam Score,MMS_6C,mms_7c
v1,Mini Mental Status Exam Score,OBJECT,mms_object
v1,Mini Mental Status Exam Score,MMS_7,mms_8
v1,Mini Mental Status Exam Score,MMS_8,mms_9
v1,Mini Mental Status Exam Score,MMS_8A,mms_9a
v1,Mini Mental Status Exam Score,MMS_8B,mms_9b
v1,Mini Mental Status Exam Score,MMS_8C,mms_9c
v1,Mini Mental Status Exam Score,MMS_8D,mms_9d
v1,Mini Mental Status Exam Score,PAPER,mms_paper
v1,Mini Mental Status Exam Score,MMS_9,mms_10
v1,Mini Mental Status Exam Score,MMS_10,mms_11
v1,Mini Mental Status Exam Score,MMS_11,mms_12
v1,Mini Mental Status Exam Score,MMS_S,mms_s
v1,Realm,REALM,realm
v1,Realm,REALMA,realma
v1,Realm,REALMB,realmb
v1,Realm,REALMC,realmc
v1,Realm,REALMD,realmd
v1,Realm,REALME,realme
v1,Realm,REALMF,realmf
v1,Realm,REALMG,realmg
v1,Realm,REALMH,realmh
v1,Realm,REALMI,realmi
v1,Realm,REALM_S,realm_total
v1,Realm,SQ_23,sq_23
v1,Realm,SUBJECT,subject
v1,Biological/Anthropometric Measures,WEIGHT,weight
v1,Biological/Anthropometric Measures,HEIGHT,height
v1,Biological/Anthropometric Measures,WAIST_C,waist_c
v1,Biological/Anthropometric Measures,CO_V1,co
v1,Biological/Anthropometric Measures,READ1_V1,read_1
v1,Biological/Anthropometric Measures,READ2_V1,read_2
v1,Biological/Anthropometric Measures,READ3_V5,read_3
v1,Biological/Anthropometric Measures,CTIME_V1,ctime
v1,Demographic/Background Information Questionnaire,DEM1V1,dem_marital_status
v1,Demographic/Background Information Questionnaire,DEM2V1,dem_children
v1,Demographic/Background Information Questionnaire,DEM3V1,dem_race
v1,Demographic/Background Information Questionnaire,DEM4V1,dem_race_mult_n
v1,Demographic/Background Information Questionnaire,DEM4V1A,dem_race_mult_white
v1,Demographic/Background Information Questionnaire,DEM4V1B,dem_race_mult_black
v1,Demographic/Background Information Questionnaire,DEM4V1C,dem_race_mult_asian
v1,Demographic/Background Information Questionnaire,DEM4V1D,dem_race_mult_pacific
v1,Demographic/Background Information Questionnaire,DEM4V1E,dem_race_mult_native
v1,Demographic/Background Information Questionnaire,DEM4V1F,dem_race_mult_other
v1,Demographic/Background Information Questionnaire,DEM5V1,dem_edu_20_cat
v1,Demographic/Background Information Questionnaire,DEM5AV1,dem_edu_ged
v1,Demographic/Background Information Questionnaire,DEM6V1,dem_employ_status
v1,Demographic/Background Information Questionnaire,DEM6AV1,dem_employ_hpw
v1,Demographic/Background Information Questionnaire,DME6BV1,dem_employ_7days
v1,Demographic/Background Information Questionnaire,DEM7V1,dem_ins
v1,Demographic/Background Information Questionnaire,DEM7V1A,dem_ins_medicare
v1,Demographic/Background Information Questionnaire,DEM7V1B,dem_medicaid
v1,Demographic/Background Information Questionnaire,DEM7V1C,dem_ins_military
v1,Demographic/Background Information Questionnaire,DEM7V1D,dem_ins_private
v1,Demographic/Background Information Questionnaire,DEM7V1E,dem_ins_none
v1,Demographic/Background Information Questionnaire,DEM8V1,dem_social_security
v1,Demographic/Background Information Questionnaire,DEM9V1,dem_social_security_amount
v1,Demographic/Background Information Questionnaire,DEM10V1,dem_snap
v1,Demographic/Background Information Questionnaire,DEM11V1,dem_snap_amount
v1,Demographic/Background Information Questionnaire,DEM12V1,dem_income_source
v1,Demographic/Background Information Questionnaire,DEM12V1A,dem_income_source_work
v1,Demographic/Background Information Questionnaire,DEM12V1B,dem_income_source_criminalized
v1,Demographic/Background Information Questionnaire,DEM12V1C,dem_income_source_disability
v1,Demographic/Background Information Questionnaire,DEM12V1D,dem_income_source_emp_benefits
v1,Demographic/Background Information Questionnaire,DEM12V1E,dem_income_source_self_emp
v1,Demographic/Background Information Questionnaire,DEM12V1F,dem_income_source_sex
v1,Demographic/Background Information Questionnaire,DEM12V1G,dem_income_source_drugs
v1,Demographic/Background Information Questionnaire,DEM12V1H,dem_income_source_social_assistance
v1,Demographic/Background Information Questionnaire,DEM12V1I,dem_income_source_student_loans
v1,Demographic/Background Information Questionnaire,DEM12V1J,dem_income_source_friends_relatives
v1,Demographic/Background Information Questionnaire,DEM12V1K,dem_income_source_other
v1,Demographic/Background Information Questionnaire,DEM12V1L,dem_income_source_none
v1,Demographic/Background Information Questionnaire,DEM13V1,dem_income_12_mnth_8_cat
v1,Demographic/Background Information Questionnaire,DEM13AV1,dem_13a
v1,Demographic/Background Information Questionnaire,DEM13BV1,dem_13b
v1,Demographic/Background Information Questionnaire,DEM13CV1,dem_13c
v1,Demographic/Background Information Questionnaire,DEM13DV1,dem_13d
v1,Demographic/Background Information Questionnaire,DEM13EV1,dem_13e
v1,Demographic/Background Information Questionnaire,DEM13FV1,dem_13f
v1,Demographic/Background Information Questionnaire,DEM13GV1,dem_13g
v1,Demographic/Background Information Questionnaire,DEM13HV1,dem_13h
v1,Demographic/Background Information Questionnaire,DEM14V1,dem_income_1_mnth_7_cat
v1,Demographic/Background Information Questionnaire,DEM14AV1,dem_14a
v1,Demographic/Background Information Questionnaire,DEM14BV1,dem_14b
v1,Demographic/Background Information Questionnaire,DEM14CV1,dem_14c
v1,Demographic/Background Information Questionnaire,DEM14DV1,dem_14d
v1,Demographic/Background Information Questionnaire,DEM14EV1,dem_14e
v1,Demographic/Background Information Questionnaire,DEM14FV1,dem_14f
v1,Demographic/Background Information Questionnaire,DEMO16G,dem_14g
v1,Demographic/Background Information Questionnaire,DEM15V1,dem_veteran
v1,Demographic/Background Information Questionnaire,DEM16V1,dem_16
v1,Demographic/Background Information Questionnaire,DEM17V1,dem_sexual_orientation
v1,Demographic/Background Information Questionnaire,DEM18V1,dem_transgender
v1,The Brief Homelessness Questionnaire,BH1V1,bh_1
v1,The Brief Homelessness Questionnaire,BH1V1Y,bh_1y
v1,The Brief Homelessness Questionnaire,BH1V1M,bh_1m
v1,The Brief Homelessness Questionnaire,BH1V1D,bh_1d
v1,The Brief Homelessness Questionnaire,BH2V1,bh_2
v1,The Brief Homelessness Questionnaire,BH3V1,bh_3
v1,The Brief Homelessness Questionnaire,BH4V1,bh_4
v1,The Brief Homelessness Questionnaire,BH4V1Y,bh_4y
v1,The Brief Homelessness Questionnaire,BH4V1M,bh_4m
v1,The Brief Homelessness Questionnaire,BH4V1D,bh_4d
v1,The Brief Homelessness Questionnaire,BH5V1,bh_5
v1,The Brief Homelessness Questionnaire,BH6V1,bh_6
v1,The Brief Homelessness Questionnaire,BH7V1,bh_7
v1,The Brief Homelessness Questionnaire,BH7V1Y,bh_7y
v1,The Brief Homelessness Questionnaire,BH7V1M,bh_7m
v1,The Brief Homelessness Questionnaire,BH7V1W,bh_7w
v1,The Brief Homelessness Questionnaire,BH8V1,bh_8
v1,The Brief Homelessness Questionnaire,BH9V1,bh_9
v1,The Brief Homelessness Questionnaire,BH10V1,bh_10
v1,The Brief Homelessness Questionnaire,BH11AV1,bh_11
v1,The Brief Homelessness Questionnaire,BH12AV1,bh_12
v1,The Brief Homelessness Questionnaire,BH12AV1A,bh_12a
v1,The Brief Homelessness Questionnaire,BH12AV1B,bh_12b
v1,The Brief Homelessness Questionnaire,BH12AV1C,bh_12c
v1,The Brief Homelessness Questionnaire,BH12AV1D,bh_12d
v1,The Brief Homelessness Questionnaire,BH12AV1E,bh_12e
v1,The Brief Homelessness Questionnaire,BH12AV1F,bh_12f
v1,The Brief Homelessness Questionnaire,BH12AV1G,bh_12g
v1,The Brief Homelessness Questionnaire,BH12AV1H,bh_12h
v1,The Brief Homelessness Questionnaire,BH12AV1I,bh_12i
v1,The Brief Homelessness Questionnaire,BH12AV1J,bh_12j
v1,The Brief Homelessness Questionnaire,BH12AV1K,bh_12k
v1,The Brief Homelessness Questionnaire,BH12AV1L,bh_12l
v1,The Brief Homelessness Questionnaire,BH13AV1,bh_13a
v1,The Brief Homelessness Questionnaire,BH13AV1A,bh_13aa
v1,The Brief Homelessness Questionnaire,BH13AV1B,bh_13ab
v1,The Brief Homelessness Questionnaire,BH13AV1C,bh_13ac
v1,The Brief Homelessness Questionnaire,BH13AV1D,bh_13ad
v1,The Brief Homelessness Questionnaire,BH13AV1E,bh_13ae
v1,The Brief Homelessness Questionnaire,BH13AV1F,bh_13af
v1,The Brief Homelessness Questionnaire,BH13BV1,bh_13b
v1,The Brief Homelessness Questionnaire,BH13BV1A,bh_13ba
v1,The Brief Homelessness Questionnaire,BH13BV1B,bh_13bb
v1,The Brief Homelessness Questionnaire,BH13BV1C,bh_13bc
v1,The Brief Homelessness Questionnaire,BH13BV1D,bh_13bd
v1,The Brief Homelessness Questionnaire,BH13BV1E,bh_13be
v1,The Brief Homelessness Questionnaire,BH13BV1F,bh_13bf
v1,The Brief Homelessness Questionnaire,BH13BV1G,bh_13bg
v1,The Brief Homelessness Questionnaire,BH13BV1H,bh_13bh
v1,The Brief Homelessness Questionnaire,BH13CV1,bh_13c
v1,The Brief Homelessness Questionnaire,BH13CV1A,bh_13ca
v1,The Brief Homelessness Questionnaire,BH13CV1B,bh_13cb
v1,The Brief Homelessness Questionnaire,BH13CV1C,bh_13cc
v1,The Brief Homelessness Questionnaire,BH13CV1D,bh_13cd
v1,The Brief Homelessness Questionnaire,BH13CV1E,bh_13ce
v1,The Brief Homelessness Questionnaire,BH13CV1F,bh_13cf
v1,The Brief Homelessness Questionnaire,BH13CV1G,bh_13cg
v1,The Brief Homelessness Questionnaire,BH13CV1H,bh_13ch
v1,The Brief Homelessness Questionnaire,BH14V1,bh_14
v1,The Brief Homelessness Questionnaire,BH14BV1,bh_14b
v1,The Brief Homelessness Questionnaire,BH14BV1Y,bh_14by
v1,The Brief Homelessness Questionnaire,BH14BV1M,bh_14bm
v1,The Brief Homelessness Questionnaire,BH14BV1W,bh_14bw
v1,The Brief Homelessness Questionnaire,BH15V1,bh_15
v1,The Brief Homelessness Questionnaire,BH15AV1,bh_15a
v1,The Brief Homelessness Questionnaire,BH16V1,bh_16
v1,The Brief Homelessness Questionnaire,BH17V1,bh_17
v1,The Brief Homelessness Questionnaire,BH17V1Y,bh_17y
v1,The Brief Homelessness Questionnaire,BH17V1M,bh_17m
v1,The Brief Homelessness Questionnaire,BH17V1W,bh_17w
v1,The Brief Homelessness Questionnaire,BH18V1,bh_18
v1,The Brief Homelessness Questionnaire,BH18BV1,bh_18b
v1,The Brief Homelessness Questionnaire,BH18BV1A,bh_18ba
v1,The Brief Homelessness Questionnaire,BH18BV1B,bh_18bb
v1,The Brief Homelessness Questionnaire,BH18BV1C,bh_18bc
v1,The Brief Homelessness Questionnaire,BH18BV1D,bh_18bd
v1,The Brief Homelessness Questionnaire,BH18BV1E,bh_18be
v1,The Brief Homelessness Questionnaire,BH18BV1F,bh_18bf
v1,The Brief Homelessness Questionnaire,BH18BV1G,bh_18bg
v1,The Brief Homelessness Questionnaire,BH18BV1H,bh_18bh
v1,The Brief Homelessness Questionnaire,BH18B1V1,bh_18b1
v1,The Brief Homelessness Questionnaire,BH19V1,bh_19
v1,The Brief Homelessness Questionnaire,BH20V1,bh_20
v1,MacArthur Scale of Subjective Social Status,SSS1_V1,sss_1
v1,MacArthur Scale of Subjective Social Status,SSS2_V1,sss_2
v1,Patient Health Questionnaire,PHQ1_V1,phq_1
v1,Patient Health Questionnaire,PHQ2_V1,phq_2
v1,Patient Health Questionnaire,PHQ3_V1,phq_3
v1,Patient Health Questionnaire,PHQ4_V1,phq_4
v1,Patient Health Questionnaire,PHQ5_V1,phq_5
v1,Patient Health Questionnaire,PHQ6_V1,phq_6
v1,Patient Health Questionnaire,PHQ7_V1,phq_7
v1,Patient Health Questionnaire,PHQ8_V1,phq_8
v1,Patient Health Questionnaire,PHQ9_V1,phq_9
v1,Patient Health Questionnaire,PHQ10_V1,phq_10
v1,Patient Health Questionnaire,PHQ11_V1,phq_11
v1,Patient Health Questionnaire,PHQ12_V1,phq_12
v1,Patient Health Questionnaire,PHQ13_V1,phq_13
v1,Patient Health Questionnaire,PHQ14_V1,phq_14
v1,Patient Health Questionnaire,PHQ15_V1,phq_15
v1,SF-12 Health Survey,HS1_V1,hs_1
v1,SF-12 Health Survey,HS2_V1,hs_2
v1,SF-12 Health Survey,HS3_V1,hs_3
v1,SF-12 Health Survey,HS4_V1,hs_4
v1,SF-12 Health Survey,HS5_V1,hs_5
v1,SF-12 Health Survey,HS6_V1,hs_6
v1,SF-12 Health Survey,HS7_V1,hs_7
v1,SF-12 Health Survey,HS8_V1,hs_8
v1,SF-12 Health Survey,HS9_V1,hs_9
v1,SF-12 Health Survey,HS10_V1,hs_10
v1,SF-12 Health Survey,HS11_V1,hs_11
v1,SF-12 Health Survey,HS12_V1,hs_12
v1,Health Related Quality of Life,HRQ1_V1,hrq_1
v1,Health Related Quality of Life,HRQ2_V1,hrq_2
v1,Health Related Quality of Life,HRQ3_V1,hrq_3
v1,Self-Rated Health Questionnaire,S2_V1,srh_1
v1,Self-Rated Health Questionnaire,S2_V1A,srh_1a
v1,Self-Rated Health Questionnaire,S2_V1B,srh_1b
v1,Self-Rated Health Questionnaire,S2_V1C,srh_1c
v1,Self-Rated Health Questionnaire,S2_V1D,srh_1d
v1,Self-Rated Health Questionnaire,S2_V1E,srh_1e
v1,Self-Rated Health Questionnaire,S2_V1F,srh_1f
v1,Self-Rated Health Questionnaire,S2_V1G,srh_1g
v1,Self-Rated Health Questionnaire,S2_V1H,srh_1h
v1,Self-Rated Health Questionnaire,SR3A_V1,srh_2a
v1,Self-Rated Health Questionnaire,SR3B_V1,srh_2b
v1,Self-Rated Health Questionnaire,SR3C_V1,srh_2c
v1,Self-Rated Health Questionnaire,SR3D_V1,srh_2d
v1,Self-Rated Health Questionnaire,SR3E_V1,srh_2e
v1,Self-Rated Health Questionnaire,SR3F_V1,srh_2f
v1,Self-Rated Health Questionnaire,S3_V1,srh_3
v1,Self-Rated Health Questionnaire,S4_V1,srh_4
v1,Self-Rated Health Questionnaire,S4_V1A,srh_5a
v1,Self-Rated Health Questionnaire,S4_V1B,srh_5b
v1,Self-Rated Health Questionnaire,S4_V1C,srh_5c
v1,Self-Rated Health Questionnaire,S4_V1D,srh_5d
v1,Self-Rated Health Questionnaire,S4_V1E,srh_5e
v1,Self-Rated Health Questionnaire,S4_V1F,srh_5f
v1,Self-Rated Health Questionnaire,S4_V1G,srh_5g
v1,Self-Rated Health Questionnaire,S4_V1H,srh_5h
v1,Self-Rated Health Questionnaire,S5_V1,srh_5
v1,Self-Rated Health Questionnaire,S6_V1,srh_6
v1,Self-Rated Health Questionnaire,S7_V1,srh_7
v1,Self-Rated Health Questionnaire,S7_V1A,srh_7a
v1,Self-Rated Health Questionnaire,S7_V1B,srh_7b
v1,Self-Rated Health Questionnaire,S7_V1C,srh_7c
v1,Self-Rated Health Questionnaire,S7_V1D,srh_7d
v1,Self-Rated Health Questionnaire,S7_V1E,srh_7e
v1,Self-Rated Health Questionnaire,S7_V1F,srh_7f
v1,Self-Rated Health Questionnaire,S7_V1G,srh_7g
v1,Self-Rated Health Questionnaire,S8_V1,srh_8
v1,Self-Rated Health Questionnaire,S8_V1A,srh_8a
v1,Self-Rated Health Questionnaire,S8_V1B,srh_8b
v1,Self-Rated Health Questionnaire,S8_V1C,srh_8c
v1,Self-Rated Health Questionnaire,S8_V1D,srh_8d
v1,Self-Rated Health Questionnaire,S8_V1E,srh_8e
v1,Self-Rated Health Questionnaire,S8_V1F,srh_8f
v1,Self-Rated Health Questionnaire,S8_V1G,srh_8g
v1,Self-Rated Health Questionnaire,S9_V1,srh_9
v1,Self-Rated Health Questionnaire,S9_V1A,srh_9a
v1,Self-Rated Health Questionnaire,S9_V1B,srh_9b
v1,Self-Rated Health Questionnaire,S9_V1C,srh_9c
v1,Self-Rated Health Questionnaire,S9_V1D,srh_9d
v1,Self-Rated Health Questionnaire,S9_V1E,srh_9e
v1,Self-Rated Health Questionnaire,S9_V1F,srh_9f
v1,Self-Rated Health Questionnaire,S9_V1G,srh_9g
v1,Self-Rated Health Questionnaire,S9_V1H,srh_9h
v1,Self-Rated Health Questionnaire,S9_V1I,srh_9i
v1,Self-Rated Health Questionnaire,S9_V1J,srh_9j
v1,Self-Rated Health Questionnaire,S9_V1K,srh_9k
v1,Self-Rated Health Questionnaire,S9_V1L,srh_9l
v1,Self-Rated Health Questionnaire,S9_V1M,srh_9m
v1,Self-Rated Health Questionnaire,S9_V1N,srh_9n
v1,Self-Rated Health Questionnaire,S9_V1O,srh_9o
v1,Self-Rated Health Questionnaire,S9_V1P,srh_9p
v1,Self-Rated Health Questionnaire,S9_V1Q,srh_9q
v1,Self-Rated Health Questionnaire,S9_V1R,srh_9r
v1,Self-Rated Health Questionnaire,S10_V1,srh_10
v1,Self-Rated Health Questionnaire,S11_V1,srh_11
v1,Self-Rated Health Questionnaire,S12_V1,srh_12
v1,Self-Rated Health Questionnaire,S13_V1,srh_13
v1,Self-Rated Health Questionnaire,S14_V1,srh_14
v1,Self-Rated Health Questionnaire,S14_V1A,srh_14a
v1,Self-Rated Health Questionnaire,S14_V1B,srh_14b
v1,Self-Rated Health Questionnaire,S14_V1C,srh_14c
v1,Self-Rated Health Questionnaire,S14_V1D,srh_14d
v1,Self-Rated Health Questionnaire,S15_V1,srh_15
v1,Self-Rated Health Questionnaire,S16_V1,srh_16
v1,Self-Rated Health Questionnaire,S17_V1,srh_17
v1,Self-Rated Health Questionnaire,S18_V1,srh_18
v1,Self-Rated Health Questionnaire,S18_V1A,srh_18a
v1,Self-Rated Health Questionnaire,S18_V1B,srh_18b
v1,Self-Rated Health Questionnaire,S18_V1C,srh_18c
v1,Self-Rated Health Questionnaire,S18_V1D,srh_18d
v1,Self-Rated Health Questionnaire,S18_V1E,srh_18e
v1,Self-Rated Health Questionnaire,S18_V1F,srh_18f
v1,Self-Rated Health Questionnaire,S18_V1G,srh_18g
v1,Self-Rated Health Questionnaire,S18_V1H,srh_18h
v1,Self-Rated Health Questionnaire,S18_V1I,srh_18i
v1,Self-Rated Health Questionnaire,S18_V1J,srh_18j
v1,Self-Rated Health Questionnaire,S18_V1K,srh_18k
v1,Self-Rated Health Questionnaire,S18_V1L,srh_18l
v1,Self-Rated Health Questionnaire,S19_V1,srh_19
v1,Self-Rated Health Questionnaire,S20_V1,srh_20
v1,Self-Rated Health Questionnaire,S21_V1,srh_21
v1,Self-Rated Health Questionnaire,S22_V1,srh_22
v1,Self-Rated Health Questionnaire,S23_V1,srh_23
v1,Self-Rated Health Questionnaire,S24_V1,srh_24
v1,Self-Rated Health Questionnaire,S24_V1A,srh_24a
v1,Self-Rated Health Questionnaire,S24_V1B,srh_24b
v1,Self-Rated Health Questionnaire,S24_V1C,srh_24c
v1,Self-Rated Health Questionnaire,S24_V1D,srh_24d
v1,Self-Rated Health Questionnaire,S24_V1E,srh_24e
v1,Self-Rated Health Questionnaire,S24_V1F,srh_24f
v1,Self-Rated Health Questionnaire,S25A_V1,srh_25
v1,Self-Rated Health Questionnaire,S26A_V1,srh_26
v1,Self-Rated Health Questionnaire,S26A_V1A,srh_26a
v1,Self-Rated Health Questionnaire,S26A_V1B,srh_26b
v1,Self-Rated Health Questionnaire,S26A_V1C,srh_26c
v1,Self-Rated Health Questionnaire,S26A_V1D,srh_26d
v1,Self-Rated Health Questionnaire,S26A_V1E,srh_26e
v1,Self-Rated Health Questionnaire,S26A_V1F,srh_26f
v1,Self-Rated Health Questionnaire,S26A_V1G,srh_26g
v1,Self-Rated Health Questionnaire,S25B_V1,srh_27
v1,Self-Rated Health Questionnaire,S26B_V1,srh_28
v1,Self-Rated Health Questionnaire,S26B_V1A,srh_28a
v1,Self-Rated Health Questionnaire,S26B_V1B,srh_28b
v1,Self-Rated Health Questionnaire,S26B_V1C,srh_28c
v1,Self-Rated Health Questionnaire,S26B_V1D,srh_28d
v1,Self-Rated Health Questionnaire,S26B_V1E,srh_28e
v1,Self-Rated Health Questionnaire,S26B_V1F,srh_28f
v1,Self-Rated Health Questionnaire,S26B_V1G,srh_28g
v1,Self-Rated Health Questionnaire,S25C_V1,srh_29
v1,Self-Rated Health Questionnaire,S26C_V1,srh_30
v1,Self-Rated Health Questionnaire,S26C_V1A,srh_30a
v1,Self-Rated Health Questionnaire,S26C_V1B,srh_30b
v1,Self-Rated Health Questionnaire,S26C_V1C,srh_30c
v1,Self-Rated Health Questionnaire,S26C_V1D,srh_30d
v1,Self-Rated Health Questionnaire,S26C_V1E,srh_30e
v1,Self-Rated Health Questionnaire,S26C_V1F,srh_30f
v1,Self-Rated Health Questionnaire,S26C_V1G,srh_30g
v1,Self-Rated Health Questionnaire,S25D_V1,srh_31
v1,Self-Rated Health Questionnaire,S26D_V1,srh_32
v1,Self-Rated Health Questionnaire,S26D_V1A,srh_32a
v1,Self-Rated Health Questionnaire,S26D_V1B,srh_32b
v1,Self-Rated Health Questionnaire,S26D_V1C,srh_32c
v1,Self-Rated Health Questionnaire,S26D_V1D,srh_32d
v1,Self-Rated Health Questionnaire,S26D_V1E,srh_32e
v1,Self-Rated Health Questionnaire,S26D_V1F,srh_32f
v1,Self-Rated Health Questionnaire,S26D_V1G,srh_32g
v1,Self-Rated Health Questionnaire,S25E_V1,srh_33
v1,Self-Rated Health Questionnaire,S26E_V1,srh_34
v1,Self-Rated Health Questionnaire,S26E_V1A,srh_34a
v1,Self-Rated Health Questionnaire,S26E_V1B,srh_34b
v1,Self-Rated Health Questionnaire,S26E_V1C,srh_34c
v1,Self-Rated Health Questionnaire,S26E_V1D,srh_34d
v1,Self-Rated Health Questionnaire,S26E_V1E,srh_34e
v1,Self-Rated Health Questionnaire,S26E_V1F,srh_34f
v1,Self-Rated Health Questionnaire,S26E_V1G,srh_34g
v1,Self-Rated Health Questionnaire,S27_V1,srh_35
v1,Self-Rated Health Questionnaire,S28_V1,srh_36
v1,Self-Rated Health Questionnaire,S29_V1,srh_37
v1,Self-Rated Health Questionnaire,S30_V1,srh_38
v1,Self-Rated Health Questionnaire,S30_V1A,srh_38a
v1,Self-Rated Health Questionnaire,S30_V1B,srh_38b
v1,Self-Rated Health Questionnaire,S30_V1C,srh_38c
v1,Self-Rated Health Questionnaire,S30_V1D,srh_38d
v1,Self-Rated Health Questionnaire,S30_V1E,srh_38e
v1,Self-Rated Health Questionnaire,S30_V1F,srh_38f
v1,Self-Rated Health Questionnaire,S30_V1G,srh_38g
v1,Self-Rated Health Questionnaire,S31_V1,srh_39
v1,Self-Rated Health Questionnaire,S32_V1,srh_40
v1,Self-Rated Health Questionnaire,S32_V1A,srh_40a
v1,Self-Rated Health Questionnaire,S32_V1B,srh_40b
v1,Self-Rated Health Questionnaire,S32_V1C,srh_40c
v1,Self-Rated Health Questionnaire,S32_V1D,srh_40d
v1,Self-Rated Health Questionnaire,S32_V1E,srh_40e
v1,Self-Rated Health Questionnaire,S32_V1F,srh_40f
v1,Self-Rated Health Questionnaire,S32_V1G,srh_40g
v1,Self-Rated Health Questionnaire,S32_V1H,srh_40h
v1,Self-Rated Health Questionnaire,S32_V1I,srh_40i
